"","Time","ETR","Dangle","EQT","ZenithAngle","AirMass","GHI"
"5188",5188,1327.47621798406,3.71826856534463,-6.26469033795341,135.34617357209,0,0
"5189",5189,1327.47621798406,3.71826856534463,-6.26469033795341,122.651994027042,0,0
"5190",5190,1327.47621798406,3.71826856534463,-6.26469033795341,109.974053675873,0,0
"5191",5191,1327.47621798406,3.71826856534463,-6.26469033795341,97.5293435769562,0,0
"5192",5192,1327.47621798406,3.71826856534463,-6.26469033795341,85.5380238553291,11.2978045850579,52.3918793219564
"5193",5193,1327.47621798406,3.71826856534463,-6.26469033795341,74.2959692899222,3.65049543841449,225.620204044551
"5194",5194,1327.47621798406,3.71826856534463,-6.26469033795341,64.2506966032985,2.29257390061749,400.551573127693
"5195",5195,1327.47621798406,3.71826856534463,-6.26469033795341,56.0868561959431,1.78844649223445,537.046988814003
"5196",5196,1327.47621798406,3.71826856534463,-6.26469033795341,50.746298821421,1.57793381872368,620.704596737295
"5197",5197,1327.47621798406,3.71826856534463,-6.26469033795341,49.1716559506065,1.52735582726821,644.32255042133
"5198",5198,1327.47621798406,3.71826856534463,-6.26469033795341,51.7115622905623,1.61123808392941,605.97925535821
"5199",5199,1327.47621798406,3.71826856534463,-6.26469033795341,57.821330674695,1.87314614060475,508.815243633251
"5200",5200,1327.47621798406,3.71826856534463,-6.26469033795341,66.5124593253409,2.49668264250233,361.438640940571
"5201",5201,1327.47621798406,3.71826856534463,-6.26469033795341,76.8960409361273,4.3338587449378,181.052937931616
"5202",5202,1327.47621798406,3.71826856534463,-6.26469033795341,88.3509077587052,21.466263287311,32.5220351292344
"5203",5203,1327.47621798406,3.71826856534463,-6.26469033795341,100.473603727378,0,0
"5204",5204,1327.47621798406,3.71826856534463,-6.26469033795341,112.992705724662,0,0
"5205",5205,1327.47621798406,3.71826856534463,-6.26469033795341,125.696007591026,0,0
"5206",5206,1327.47621798406,3.71826856534463,-6.26469033795341,138.35278858708,0,0
"5207",5207,1327.47621798406,3.71826856534463,-6.26469033795341,150.546142887774,0,0
"5208",5208,1327.47621798406,3.71826856534463,-6.26469033795341,161.009565679412,0,0
"5209",5209,1327.86622086309,3.73548277166567,-6.17451292731532,164.882120137081,0,0
"5210",5210,1327.86622086309,3.73548277166567,-6.17451292731532,158.604578189864,0,0
"5211",5211,1327.86622086309,3.73548277166567,-6.17451292731532,147.546115359147,0,0
"5212",5212,1327.86622086309,3.73548277166567,-6.17451292731532,135.198624447652,0,0
"5213",5213,1327.86622086309,3.73548277166567,-6.17451292731532,122.508571397235,0,0
"5214",5214,1327.86622086309,3.73548277166567,-6.17451292731532,109.826296809727,0,0
"5215",5215,1327.86622086309,3.73548277166567,-6.17451292731532,97.371162900204,0,0
"5216",5216,1327.86622086309,3.73548277166567,-6.17451292731532,85.364109079271,10.9582450927772,54.3256864944486
"5217",5217,1327.86622086309,3.73548277166567,-6.17451292731532,74.1012377378433,3.608044348698,229.061306832747
"5218",5218,1327.86622086309,3.73548277166567,-6.17451292731532,64.0307657789374,2.27466368839833,404.451179518921
"5219",5219,1327.86622086309,3.73548277166567,-6.17451292731532,55.8403728456784,1.77715431109396,541.178618036176
"5220",5220,1327.86622086309,3.73548277166567,-6.17451292731532,50.4797841910603,1.56905614663728,624.921194876698
"5221",5221,1327.86622086309,3.73548277166567,-6.17451292731532,48.9028676204005,1.51915624986607,648.493149950981
"5222",5222,1327.86622086309,3.73548277166567,-6.17451292731532,51.4621502909008,1.60245555293192,609.980854020752
"5223",5223,1327.86622086309,3.73548277166567,-6.17451292731532,57.6038386771311,1.86199562958976,512.531661817521
"5224",5224,1327.86622086309,3.73548277166567,-6.17451292731532,66.3279882981819,2.47854685375763,364.749817476023
"5225",5225,1327.86622086309,3.73548277166567,-6.17451292731532,76.7398751101846,4.28555463755994,183.75158343263
"5226",5226,1327.86622086309,3.73548277166567,-6.17451292731532,88.2168772527125,20.6488003579431,32.7107575292439
"5227",5227,1327.86622086309,3.73548277166567,-6.17451292731532,100.355600692521,0,0
"5228",5228,1327.86622086309,3.73548277166567,-6.17451292731532,112.884621362004,0,0
"5229",5229,1327.86622086309,3.73548277166567,-6.17451292731532,125.590758933913,0,0
"5230",5230,1327.86622086309,3.73548277166567,-6.17451292731532,138.240060347521,0,0
"5231",5231,1327.86622086309,3.73548277166567,-6.17451292731532,150.406835959777,0,0
"5232",5232,1327.86622086309,3.73548277166567,-6.17451292731532,160.804976582841,0,0
"5233",5233,1328.26745119899,3.75269697798671,-6.07367419857485,164.606834459941,0,0
"5234",5234,1328.26745119899,3.75269697798671,-6.07367419857485,158.384838492838,0,0
"5235",5235,1328.26745119899,3.75269697798671,-6.07367419857485,147.373862853272,0,0
"5236",5236,1328.26745119899,3.75269697798671,-6.07367419857485,135.045695334374,0,0
"5237",5237,1328.26745119899,3.75269697798671,-6.07367419857485,122.360141727885,0,0
"5238",5238,1328.26745119899,3.75269697798671,-6.07367419857485,109.67374663181,0,0
"5239",5239,1328.26745119899,3.75269697798671,-6.07367419857485,97.2082843039789,0,0
"5240",5240,1328.26745119899,3.75269697798671,-6.07367419857485,85.1854954871869,10.6288146712222,56.3657980100168
"5241",5241,1328.26745119899,3.75269697798671,-6.07367419857485,73.901720984224,3.5655893945574,232.593079760045
"5242",5242,1328.26745119899,3.75269697798671,-6.07367419857485,63.8058959711282,2.25667042562346,408.436763131748
"5243",5243,1328.26745119899,3.75269697798671,-6.07367419857485,55.5888027035099,1.76580797733045,545.388789307883
"5244",5244,1328.26745119899,3.75269697798671,-6.07367419857485,50.208253846122,1.56014765243766,629.20664305986
"5245",5245,1328.26745119899,3.75269697798671,-6.07367419857485,48.6296565775817,1.51094503212315,652.721455060011
"5246",5246,1328.26745119899,3.75269697798671,-6.07367419857485,51.209412659585,1.59368328164501,614.028430655471
"5247",5247,1328.26745119899,3.75269697798671,-6.07367419857485,57.384182244806,1.8508943144668,516.282694127935
"5248",5248,1328.26745119899,3.75269697798671,-6.07367419857485,66.1422485400135,2.46057406833178,368.085808199259
"5249",5249,1328.26745119899,3.75269697798671,-6.07367419857485,76.5830227019762,4.23812066374401,186.46998347514
"5250",5250,1328.26745119899,3.75269697798671,-6.07367419857485,88.0824869723512,19.8808039356751,33.0227668410952
"5251",5251,1328.26745119899,3.75269697798671,-6.07367419857485,100.237361894607,0,0
"5252",5252,1328.26745119899,3.75269697798671,-6.07367419857485,112.77624024667,0,0
"5253",5253,1328.26745119899,3.75269697798671,-6.07367419857485,125.48494086377,0,0
"5254",5254,1328.26745119899,3.75269697798671,-6.07367419857485,138.126186240435,0,0
"5255",5255,1328.26745119899,3.75269697798671,-6.07367419857485,150.265317992402,0,0
"5256",5256,1328.26745119899,3.75269697798671,-6.07367419857485,160.596662574699,0,0
